Complexity,Loss,Equation
1,3.4223405e-5,"x0"
3,1.005677e-5,"(x0 * 0.5984119)"
5,7.361108e-6,"((0.63048196 * x0) + -0.0016880753)"
7,3.6684433e-8,"(0.7107523 * ((x1 * -0.20766379) + x0))"
9,2.438319e-8,"((((-0.2175051 + x0) * x1) + x0) * 0.69024867)"
11,2.201003e-8,"((((0.6532741 * x1) * (x0 + -0.328951)) + x0) * 0.70121336)"
13,1.7358879e-8,"((((0.6532741 + x1) * ((x0 + -0.30778992) * x1)) + x0) * 0.70121336)"
15,1.668562e-8,"(((((0.6532741 * 0.9910616) + x1) * ((x0 + -0.30778992) * x1)) + x0) * 0.70121336)"
17,1.6511663e-8,"((((0.6532741 + (x1 * 0.91572434)) * ((x0 + -0.30778992) * x1)) + x0) * (0.70121336 + -0.00067293085))"
19,1.6269642e-8,"((((0.6532741 + x1) * ((((x0 * (x0 + x0)) + -0.30778992) + x0) * x1)) + x0) * 0.70121336)"
